,filename,alloc_size,array_index,bitvector,boolean,branch_cond,char_def,char_use,const_assign,counter,file_def,file_use,input,linear,loop_bound,loop_iterator,mode,offset,synt_const,unresolved_assign,used_in_arithm,A1,B2,C3,D4,E5,F6,G7,H8,I9,J10,K11,L12,M13,labels
0,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-mellanox-mlx5-core-mlx5_core_true-unreach-call.cil.c,0.05,0.65,1.84,17.04,9.98,0.0,0.0,26.97,25.65,0.0,0.0,8.38,29.33,0.0,0.21,12.23,0.85,15.64,8.46,7.75,40.678000000000004,40.678000000000004,52.5424,5.08475,47.4576,1.46138,0.90036,5.0,62.0,2207.0,445.0,57.0,1705.0,10.0
1,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-usb-dev__drivers-net-ethernet-broadcom-bnx2_true-unreach-call.cil.c,0.05,0.85,8.37,16.67,10.76,0.0,0.0,27.59,27.48,0.0,0.0,6.61,34.04,0.0,0.0,8.94,2.46,13.73,6.82,12.58,39.3701,45.6693,51.1811,1.5748,48.8189,3.96975,2.23087,5.0,667.0,3289.0,1102.0,101.0,2086.0,10.0
2,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-usb-pegasus_true-unreach-call.cil.c,0.14,0.21,2.32,18.65,10.23,0.0,0.0,29.17,29.68,0.0,0.0,12.04,34.39,0.0,0.0,10.01,0.29,12.19,12.04,7.83,45.4545,45.4545,45.4545,27.2727,54.5455,4.90066,3.20624,5.0,22.0,1327.0,167.0,49.0,1111.0,10.0
3,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-irda-vlsi_ir_true-unreach-call.cil.c,0.12,0.06,3.9,25.85,15.95,0.0,0.0,32.59,32.4,0.0,0.0,13.43,34.93,0.0,0.0,15.44,0.63,18.47,13.55,8.25,31.8182,31.8182,40.9091,13.6364,59.0909,2.61682,1.95567,5.0,17.0,1554.0,184.0,36.0,1334.0,10.0
4,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-mutex__drivers-net-wireless-ipw2x00-ipw2100_true-unreach-call.cil.c,0.05,0.91,9.15,13.11,10.9,0.0,0.0,25.71,22.84,0.0,0.0,10.04,29.41,0.0,0.02,7.34,2.72,11.19,10.18,9.06,53.4884,62.7907,73.2558,2.32558,26.7442,1.55833,0.933401,5.0,29.0,4733.0,1063.0,139.0,3531.0,10.0
5,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-ethernet-qlogic-qlge-qlge_true-unreach-call.cil.c,0.05,0.56,4.01,15.95,14.5,0.0,0.0,27.67,26.73,0.0,0.0,7.89,35.03,0.0,0.0,8.99,2.48,10.89,8.19,10.38,35.2459,37.7049,46.7213,2.45902,53.2787,2.68817,1.44725,5.0,34.0,3475.0,1299.0,64.0,2112.0,10.0
6,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-ethernet-amd-amd8111e_true-unreach-call.cil.c,0.11,0.53,2.95,25.01,10.23,0.0,0.0,31.93,32.34,0.0,0.0,9.87,36.66,0.0,0.05,16.08,0.53,19.04,10.17,6.5,44.0,44.0,56.0,12.0,44.0,3.91753,3.0581,5.0,23.0,1265.0,231.0,32.0,1002.0,10.0
7,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-spinlock__drivers-net-wireless-ipw2x00-ipw2200_true-unreach-call.cil.c,0.03,1.41,11.51,16.26,10.25,0.0,0.0,24.54,25.92,0.0,0.0,8.53,30.61,0.0,0.01,9.28,1.53,11.86,8.79,11.64,32.3529,37.2549,45.098,1.96078,54.902,1.02453,0.59322,5.0,56.0,4142.0,1106.0,105.0,2931.0,10.0
8,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-wireless-rtlwifi-rtl8723ae-rtl8723ae_true-unreach-call.cil.c,0.03,0.65,18.93,12.11,21.07,0.0,0.0,18.14,20.53,0.0,0.0,2.0,21.51,0.0,0.1,5.89,0.7,7.85,2.6,6.74,43.2203,61.8644,76.2712,2.54237,23.7288,2.18824,1.09948,5.0,58.0,4541.0,1331.0,113.0,3097.0,10.0
9,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-ethernet-micrel-ksz884x_true-unreach-call.cil.c,0.07,2.53,5.25,16.35,10.64,0.0,0.0,22.94,27.14,0.0,0.0,6.87,29.71,0.0,0.0,8.7,3.24,11.03,7.04,11.73,42.0455,44.3182,47.7273,3.40909,52.2727,4.18888,2.70655,5.0,36.0,2451.0,745.0,59.0,1647.0,10.0
10,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-mutex__drivers-net-ethernet-ti-tlan_true-unreach-call.cil.c,0.12,0.31,9.09,16.38,9.71,0.0,0.0,30.9,30.34,0.0,0.0,8.53,37.19,0.0,0.0,10.84,0.8,18.13,9.59,9.71,64.7059,64.7059,64.7059,8.82353,35.2941,3.01724,1.91083,5.0,17.0,1203.0,236.0,32.0,935.0,10.0
11,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-usb-dev__drivers-net-wireless-rtlwifi-rtl8723ae-rtl8723ae_true-unreach-call.cil.c,0.03,0.66,19.09,12.15,21.01,0.0,0.0,17.97,20.37,0.0,0.0,1.88,21.36,0.0,0.11,5.79,0.71,7.77,2.49,6.8,41.129,58.871,72.5806,1.6129,27.4194,2.20075,1.08724,5.0,45.0,4463.0,1287.0,114.0,3062.0,10.0
12,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-pci-saa7164-saa7164_true-unreach-call.cil.c,0.06,3.58,1.83,18.53,11.01,0.0,0.0,30.62,30.08,0.0,0.0,7.76,37.36,0.0,0.0,12.21,1.17,15.22,7.91,12.72,29.2135,30.3371,37.0787,3.37079,62.9213,2.42588,1.13844,5.0,38.0,3420.0,876.0,71.0,2473.0,10.0
13,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-drivers-clk1__drivers-net-ethernet-cisco-enic-enic_true-unreach-call.cil.c,0.05,0.95,1.93,17.3,12.95,0.0,0.0,29.95,31.12,0.0,0.0,5.6,39.59,0.0,0.0,11.53,3.04,14.91,10.66,10.12,27.0,30.0,38.0,3.0,62.0,4.4108,2.40596,5.0,28.0,2565.0,620.0,52.0,1893.0,10.0
14,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-mutex__drivers-net-ethernet-qlogic-qlge-qlge_true-unreach-call.cil.c,0.05,0.58,4.19,12.9,13.74,0.0,0.0,25.3,24.24,0.0,0.0,6.74,33.03,0.0,0.0,7.83,2.6,9.82,7.05,10.86,35.2459,37.7049,46.7213,2.45902,53.2787,2.9925200000000003,1.50048,5.0,34.0,3162.0,1177.0,69.0,1916.0,10.0
15,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-spinlock__drivers-net-fddi-skfp-skfp_true-unreach-call.cil.c,0.05,1.29,7.0,14.79,12.44,0.0,0.0,25.21,29.46,0.0,0.0,7.26,31.71,0.0,0.0,6.39,1.05,10.04,8.03,13.55,47.9339,55.3719,62.8099,1.6528900000000002,37.1901,1.33333,0.7828970000000001,5.0,41.0,3458.0,1248.0,66.0,2144.0,10.0
16,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-wireless-adm8211_true-unreach-call.cil.c,0.12,0.32,4.42,23.89,10.76,0.0,0.0,33.05,33.44,0.0,0.0,11.01,35.93,0.0,0.06,15.18,0.7,18.38,11.33,6.53,44.4444,44.4444,44.4444,11.1111,55.5556,2.63405,1.7133099999999999,5.0,22.0,1419.0,223.0,30.0,1166.0,10.0
17,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-ethernet-broadcom-bnx2_true-unreach-call.cil.c,0.05,0.84,8.29,16.51,10.91,0.0,0.0,27.74,27.64,0.0,0.0,6.67,34.13,0.0,0.0,9.01,2.43,13.75,6.89,12.45,40.9836,47.541000000000004,53.2787,2.45902,46.7213,3.8601300000000003,2.24342,5.0,41.0,3242.0,1080.0,78.0,2084.0,10.0
18,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-usb-dev__drivers-net-irda-via-ircc_true-unreach-call.cil.c,0.17,0.34,9.73,17.59,11.01,0.0,0.0,26.72,27.49,0.0,0.0,8.53,30.05,0.0,0.0,9.22,0.93,13.66,8.53,9.64,47.8261,56.5217,65.2174,8.69565,34.7826,2.3557099999999997,1.1578899999999999,5.0,9.0,1003.0,115.0,18.0,870.0,10.0
19,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-wireless-airo_true-unreach-call.cil.c,0.04,2.08,3.2,15.9,14.35,0.0,0.0,26.49,25.86,0.0,0.0,8.77,30.73,0.0,0.02,9.16,1.28,12.33,10.08,12.33,50.0,57.3171,63.4146,3.6585400000000003,36.5854,3.6954599999999997,2.07065,5.0,24.0,3288.0,1053.0,72.0,2163.0,10.0
20,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-alloc-spinlock__drivers-net-ethernet-broadcom-bnx2_true-unreach-call.cil.c,0.04,0.79,7.79,19.41,11.26,0.0,0.0,29.8,29.7,0.0,0.0,7.5,35.78,0.0,0.0,9.94,2.29,14.27,7.69,11.33,39.3701,45.6693,51.1811,1.5748,48.8189,3.50584,2.08434,5.0,667.0,4189.0,1403.0,108.0,2678.0,10.0
